trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481202,2019-07-01 07:32:14 UTC,2019-07-01 07:41:12 UTC,1671,538.0,77,Clinton St & Madison St,125,Rush St & Hubbard St,Subscriber,Male,1959
23481258,2019-07-01 07:34:12 UTC,2019-07-01 07:51:11 UTC,3146,1019.0,94,Clark St & Armitage Ave,100,Orleans St & Merchandise Mart Plaza,Subscriber,Female,1951
23481263,2019-07-01 07:34:24 UTC,2019-07-01 07:43:48 UTC,1185,564.0,174,Canal St & Madison St,39,Wabash Ave & Adams St,Subscriber,Male,1953
23481285,2019-07-01 07:34:55 UTC,2019-07-01 07:53:18 UTC,2846,1103.0,638,Clinton St & Jackson Blvd,342,Wolcott Ave & Polk St,Subscriber,Male,1958
23481305,2019-07-01 07:35:43 UTC,2019-07-01 07:45:00 UTC,3979,557.0,81,Daley Center Plaza,99,Lake Shore Dr & Ohio St,Subscriber,Male,1951
23481345,2019-07-01 07:36:44 UTC,2019-07-01 07:44:33 UTC,5473,469.0,242,Damen Ave & Leland Ave,462,Winchester (Ravenswood) Ave & Balmoral Ave,Subscriber,Male,1949
23481363,2019-07-01 07:37:15 UTC,2019-07-01 07:43:20 UTC,3608,365.0,91,Clinton St & Washington Blvd,36,Franklin St & Jackson Blvd,Subscriber,Male,1957
23481379,2019-07-01 07:37:43 UTC,2019-07-01 07:46:44 UTC,254,541.0,283,LaSalle St & Jackson Blvd,134,Peoria St & Jackson Blvd,Subscriber,Male,1955
23481531,2019-07-01 07:43:17 UTC,2019-07-01 07:50:29 UTC,6391,432.0,35,Streeter Dr & Grand Ave,25,Michigan Ave & Pearson St,Subscriber,Female,1959
23481550,2019-07-01 07:44:01 UTC,2019-07-01 08:09:29 UTC,1936,1528.0,3,Shedd Aquarium,150,Fort Dearborn Dr & 31st St,Subscriber,Male,1950
23481656,2019-07-01 07:47:22 UTC,2019-07-01 08:10:13 UTC,4316,1371.0,177,Theater on the Lake,459,Lakefront Trail & Bryn Mawr Ave,Subscriber,Male,1946
23481694,2019-07-01 07:48:40 UTC,2019-07-01 08:05:54 UTC,3412,1034.0,91,Clinton St & Washington Blvd,383,Paulina St & Flournoy St,Subscriber,Male,1944
23481727,2019-07-01 07:49:46 UTC,2019-07-01 08:06:01 UTC,617,975.0,77,Clinton St & Madison St,383,Paulina St & Flournoy St,Subscriber,Female,1957
23481739,2019-07-01 07:50:04 UTC,2019-07-01 08:05:49 UTC,4808,945.0,77,Clinton St & Madison St,125,Rush St & Hubbard St,Subscriber,Male,1955
23481782,2019-07-01 07:51:26 UTC,2019-07-01 08:02:27 UTC,1067,661.0,165,Clark St & Grace St,293,Broadway & Wilson Ave,Subscriber,Female,1959
23481814,2019-07-01 07:52:44 UTC,2019-07-01 08:13:02 UTC,4168,1218.0,77,Clinton St & Madison St,275,Ashland Ave & 13th St,Subscriber,Male,1958
23481846,2019-07-01 07:53:42 UTC,2019-07-01 08:33:02 UTC,4113,2360.0,230,Lincoln Ave & Roscoe St,88,Racine Ave & Randolph St,Subscriber,Male,2000
23481878,2019-07-01 07:54:42 UTC,2019-07-01 08:01:01 UTC,4739,379.0,112,Green St & Randolph St,18,Wacker Dr & Washington St,Subscriber,Female,1958
23481890,2019-07-01 07:55:02 UTC,2019-07-01 08:01:14 UTC,1562,372.0,77,Clinton St & Madison St,164,Franklin St & Lake St,Subscriber,Male,1946
23481923,2019-07-01 07:55:54 UTC,2019-07-01 08:03:20 UTC,3470,446.0,91,Clinton St & Washington Blvd,264,Stetson Ave & South Water St,Subscriber,Male,1957
23481931,2019-07-01 07:56:08 UTC,2019-07-01 08:09:06 UTC,6248,778.0,174,Canal St & Madison St,45,Michigan Ave & Ida B Wells Dr,Subscriber,Male,1958
23481955,2019-07-01 07:56:41 UTC,2019-07-01 08:13:38 UTC,1412,1017.0,91,Clinton St & Washington Blvd,106,State St & Pearson St,Subscriber,Male,1957
23482080,2019-07-01 08:00:12 UTC,2019-07-01 08:31:50 UTC,5644,1898.0,625,Chicago Ave & Dempster St,596,Benson Ave & Church St,Subscriber,Male,1959
23482145,2019-07-01 08:02:30 UTC,2019-07-01 08:13:17 UTC,979,647.0,596,Benson Ave & Church St,605,University Library (NU),Subscriber,Female,1959
